S,rd,price
0.35443038,0.09586207,0.00000001
0.35443038,0.10000000,0.00000001
0.40506329,-0.02000000,0.00000000
0.40506329,-0.01586207,0.00000000
0.40506329,-0.01172414,0.00000000
0.40506329,-0.00758621,0.00000000
0.40506329,-0.00344828,0.00000000
0.40506329,0.00068966,0.00000000
0.40506329,0.00482759,0.00000000
0.40506329,0.00896552,0.00000000
0.40506329,0.01310345,0.00000000
0.40506329,0.01724138,0.00000000
0.40506329,0.02137931,0.00000001
0.40506329,0.02551724,0.00000001
0.40506329,0.02965517,0.00000001
0.40506329,0.03379310,0.00000001
0.40506329,0.03793103,0.00000001
0.40506329,0.04206897,0.00000001
0.40506329,0.04620690,0.00000001
0.40506329,0.05034483,0.00000002
0.40506329,0.05448276,0.00000002
0.40506329,0.05862069,0.00000002
0.40506329,0.06275862,0.00000003
0.40506329,0.06689655,0.00000003
0.40506329,0.07103448,0.00000004
0.40506329,0.07517241,0.00000004
0.40506329,0.07931034,0.00000005
0.40506329,0.08344828,0.00000006
0.40506329,0.08758621,0.00000006
0.40506329,0.09172414,0.00000007
0.40506329,0.09586207,0.00000008
0.40506329,0.10000000,0.00000008
0.45569620,-0.02000000,0.00000002
0.45569620,-0.01586207,0.00000002
0.45569620,-0.01172414,0.00000002
0.45569620,-0.00758621,0.00000002
0.45569620,-0.00344828,0.00000003
0.45569620,0.00068966,0.00000003
0.45569620,0.00482759,0.00000004
0.45569620,0.00896552,0.00000005
0.45569620,0.01310345,0.00000005
0.45569620,0.01724138,0.00000006
0.45569620,0.02137931,0.00000007
0.45569620,0.02551724,0.00000008
0.45569620,0.02965517,0.00000010
0.45569620,0.03379310,0.00000011
0.45569620,0.03793103,0.00000013
0.45569620,0.04206897,0.00000015
0.45569620,0.04620690,0.00000018
0.45569620,0.05034483,0.00000020
0.45569620,0.05448276,0.00000023
0.45569620,0.05862069,0.00000027
0.45569620,0.06275862,0.00000031
0.45569620,0.06689655,0.00000035
0.45569620,0.07103448,0.00000040
0.45569620,0.07517241,0.00000046
0.45569620,0.07931034,0.00000052
0.45569620,0.08344828,0.00000059
0.45569620,0.08758621,0.00000067
0.45569620,0.09172414,0.00000076
0.45569620,0.09586207,0.00000086
0.45569620,0.10000000,0.00000086
0.50632911,-0.02000000,0.00000021
0.50632911,-0.01586207,0.00000021
0.50632911,-0.01172414,0.00000024
0.50632911,-0.00758621,0.00000028
0.50632911,-0.00344828,0.00000032
0.50632911,0.00068966,0.00000037
0.50632911,0.00482759,0.00000043
0.50632911,0.00896552,0.00000050
0.50632911,0.01310345,0.00000057
0.50632911,0.01724138,0.00000066
0.50632911,0.02137931,0.00000075
0.50632911,0.02551724,0.00000086
0.50632911,0.02965517,0.00000099
0.50632911,0.03379310,0.00000112
0.50632911,0.03793103,0.00000128
0.50632911,0.04206897,0.00000145
0.50632911,0.04620690,0.00000165
0.50632911,0.05034483,0.00000187
0.50632911,0.05448276,0.00000211
0.50632911,0.05862069,0.00000238
0.50632911,0.06275862,0.00000269
0.50632911,0.06689655,0.00000302
0.50632911,0.07103448,0.00000340
0.50632911,0.07517241,0.00000381
0.50632911,0.07931034,0.00000428
0.50632911,0.08344828,0.00000479
0.50632911,0.08758621,0.00000535
0.50632911,0.09172414,0.00000597
0.50632911,0.09586207,0.00000666
0.50632911,0.10000000,0.00000666
0.55696203,-0.02000000,0.00000191
0.55696203,-0.01586207,0.00000191
0.55696203,-0.01172414,0.00000218
0.55696203,-0.00758621,0.00000249
0.55696203,-0.00344828,0.00000283
0.55696203,0.00068966,0.00000322
0.55696203,0.00482759,0.00000365
0.55696203,0.00896552,0.00000414
0.55696203,0.01310345,0.00000468
0.55696203,0.01724138,0.00000528
0.55696203,0.02137931,0.00000595
0.55696203,0.02551724,0.00000670
0.55696203,0.02965517,0.00000752
0.55696203,0.03379310,0.00000844
0.55696203,0.03793103,0.00000946
0.55696203,0.04206897,0.00001058
0.55696203,0.04620690,0.00001182
0.55696203,0.05034483,0.00001318
0.55696203,0.05448276,0.00001469
0.55696203,0.05862069,0.00001634
0.55696203,0.06275862,0.00001816
0.55696203,0.06689655,0.00002016
0.55696203,0.07103448,0.00002235
0.55696203,0.07517241,0.00002474
0.55696203,0.07931034,0.00002736
0.55696203,0.08344828,0.00003022
0.55696203,0.08758621,0.00003334
0.55696203,0.09172414,0.00003675
0.55696203,0.09586207,0.00004045
0.55696203,0.10000000,0.00004045
0.60759494,-0.02000000,0.00001345
0.60759494,-0.01586207,0.00001345
0.60759494,-0.01172414,0.00001512
0.60759494,-0.00758621,0.00001695
0.60759494,-0.00344828,0.00001899
0.60759494,0.00068966,0.00002123
0.60759494,0.00482759,0.00002371
0.60759494,0.00896552,0.00002643
0.60759494,0.01310345,0.00002943
0.60759494,0.01724138,0.00003272
0.60759494,0.02137931,0.00003633
0.60759494,0.02551724,0.00004029
0.60759494,0.02965517,0.00004461
0.60759494,0.03379310,0.00004934
0.60759494,0.03793103,0.00005451
0.60759494,0.04206897,0.00006013
0.60759494,0.04620690,0.00006627
0.60759494,0.05034483,0.00007294
0.60759494,0.05448276,0.00008019
0.60759494,0.05862069,0.00008806
0.60759494,0.06275862,0.00009660
0.60759494,0.06689655,0.00010585
0.60759494,0.07103448,0.00011586
0.60759494,0.07517241,0.00012669
0.60759494,0.07931034,0.00013838
0.60759494,0.08344828,0.00015101
0.60759494,0.08758621,0.00016462
0.60759494,0.09172414,0.00017928
0.60759494,0.09586207,0.00019507
0.60759494,0.10000000,0.00019507
0.65822785,-0.02000000,0.00007384
0.65822785,-0.01586207,0.00007384
0.65822785,-0.01172414,0.00008170
0.65822785,-0.00758621,0.00009028
0.65822785,-0.00344828,0.00009962
0.65822785,0.00068966,0.00010979
0.65822785,0.00482759,0.00012085
0.65822785,0.00896552,0.00013285
0.65822785,0.01310345,0.00014587
0.65822785,0.01724138,0.00015998
